status	sim_time	in_0	in_1	
1	2.85159	0	0	
1	3.18443	0	0	
0	7.89362	1	1	
0	6.11636	1	1	
1	6.28064	0	0	
1	7.06412	0	0	
0	9.59122	1	0.284623	
0	1.25012	1	1	
1	2.12921	0	0	
1	2.29775	0	0	
1	4.25299	0	0	
1	4.97743	0	0	
0	22.1867	0.364861	1	
0	22.2775	1	1	
1	22.4132	0	0	
1	22.5316	0	0	
0	11.3746	1	1	
1	11.5431	0	0	
0	2.93459	1	1	
0	1.27742	1	1	
1	2.2547	0	0	
1	2.69668	0	0	
1	2.73586	0	0	
0	3.70179	1	1	
1	3.94043	0	0	
1	4.08454	0	0	
1	4.3108	0	0	
1	4.67866	0	0	
1	5.08258	0	0	
0	1.68291	1	1	
1	1.70453	0	0	
1	1.89295	0	0	
1	1.96432	0	0	
1	2.79737	0	0	
0	6.27436	1	0.866746	
0	36.0337	0.391495	0.788841	
0	25.8536	1	1	
0	24.8578	1	1	
1	24.941	0	0	
0	21.3811	1	1	
1	21.5386	0	0	
0	6.27278	1	1	
1	6.70967	0	0	
1	8.06128	0	0	
0	8.82366	1	1	
1	9.15827	0	0	
0	8.25213	1	1	
1	8.39161	0	0	
1	8.43474	0	0	
0	1.97468	1	1	
1	2.29914	0	0	
1	2.76833	0	0	
0	1.58772	1	1	
1	2.07528	0	0	
1	2.39114	0	0	
0	1.03007	1	1	
1	1.28597	0	0	
1	2.00055	0	0	
1	3.45596	0	0	
0	1.36334	1	1	
1	1.51074	0	0	
1	2.95106	0	0	
1	3.53757	0	0	
1	3.72711	0	0	
1	3.88335	0	0	
1	3.95617	0	0	
0	4.09937	1	1	
1	4.27463	0	0	
1	4.30731	0	0	
1	4.61372	0	0	
0	13.0622	1	0.405081	
0	12.8549	1	0.622125	
0	15.239	1	0.857733	
0	7.0103	1	0.345719	
1	7.05289	0	0	
0	71.984	0.167304	0.930828	
0	22.4603	1	1	
1	22.4823	0	0	
1	22.7327	0	0	
0	3.31676	1	1	
1	3.82244	0	0	
0	3.15855	1	1	
1	3.85661	0	0	
1	4.01787	0	0	
1	4.0374	0	0	
1	4.98472	0	0	
1	5.19522	0	0	
1	7.42783	0	0	
1	7.71231	0	0	
0	1.68772	1	1	
1	3.12271	0	0	
1	3.36716	0	0	
1	3.46333	0	0	
0	4.71228	1	1	
1	5.78589	0	0	
0	4.69492	1	1	
1	5.59715	0	0	
1	6.10361	0	0	
1	6.24292	0	0	
1	6.24664	0	0	
1	6.43666	0	0	
0	3.78232	1	1	
1	3.87091	0	0	
0	2.56698	1	1	
1	3.05317	0	0	
1	3.17933	0	0	
1	4.02267	0	0	
1	4.10479	0	0	
1	4.25866	0	0	
0	5.67486	1	0.809078	
1	5.74612	0	0	
1	6.10093	0	0	
1	6.19111	0	0	
1	6.20922	0	0	
1	6.80908	0	0	
0	0.701883	1	1	
1	0.957453	0	0	
1	4.19365	0	0	
0	7.32569	1	1	
0	6.01915	1	1	
1	6.71614	0	0	
0	35.3002	0.0271177	1	
0	4.09788	1	1	
0	1.15872	1	1	
1	1.89487	0	0	
1	1.97228	0	0	
1	4.00788	0	0	
1	5.16303	0	0	
1	5.32253	0	0	
1	7.42353	0	0	
1	7.7164	0	0	
1	14.185	0	0	
0	17.0039	1	1	
0	8.49617	1	1	
0	5.37377	1	1	
0	1.06541	1	1	
1	1.21511	0	0	
1	2.64611	0	0	
1	2.67091	0	0	
1	5.55584	0	0	
1	5.65986	0	0	
1	6.20031	0	0	
1	6.43092	0	0	
1	8.56995	0	0	
1	9.59365	0	0	
